case_a,case_b,overlap_bars
CASE-022,CASE-029,0
CASE-022,CASE-030,0
CASE-022,CASE-031,0
CASE-022,CASE-032,0
CASE-022,CASE-033,0
CASE-022,CASE-034,0
CASE-022,CASE-035,0
CASE-022,CASE-036,0
CASE-022,CASE-037,0
CASE-022,CASE-038,0
CASE-022,CASE-039,0
CASE-022,CASE-040,0
CASE-022,CASE-041,0
CASE-022,CASE-042,0
CASE-022,CASE-043,0
CASE-022,CASE-044,0
CASE-022,CASE-045,0
CASE-023,CASE-024,0
CASE-023,CASE-025,0
CASE-023,CASE-026,0
CASE-023,CASE-027,0
CASE-023,CASE-028,0
CASE-023,CASE-029,0
CASE-023,CASE-030,0
CASE-023,CASE-031,0
CASE-023,CASE-032,0
CASE-023,CASE-033,0
CASE-023,CASE-034,0
CASE-023,CASE-035,0
CASE-023,CASE-036,0
CASE-023,CASE-037,0
CASE-023,CASE-038,0
CASE-023,CASE-039,0
CASE-023,CASE-040,0
CASE-023,CASE-041,0
CASE-023,CASE-042,0
CASE-023,CASE-043,0
CASE-023,CASE-044,0
CASE-023,CASE-045,0
CASE-024,CASE-025,0
CASE-024,CASE-026,0
CASE-024,CASE-027,0
CASE-024,CASE-028,0
CASE-024,CASE-029,0
CASE-024,CASE-030,0
CASE-024,CASE-031,0
CASE-024,CASE-032,0
CASE-024,CASE-033,0
CASE-024,CASE-034,0
CASE-024,CASE-035,0
CASE-024,CASE-036,0
CASE-024,CASE-037,0
CASE-024,CASE-038,0
CASE-024,CASE-039,0
CASE-024,CASE-040,0
CASE-024,CASE-041,0
CASE-024,CASE-042,0
CASE-024,CASE-043,0
CASE-024,CASE-044,0
CASE-024,CASE-045,0
CASE-025,CASE-026,0
CASE-025,CASE-027,0
CASE-025,CASE-028,0
CASE-025,CASE-029,0
CASE-025,CASE-030,0
CASE-025,CASE-031,0
CASE-025,CASE-032,0
CASE-025,CASE-033,0
CASE-025,CASE-034,0
CASE-025,CASE-035,0
CASE-025,CASE-036,0
CASE-025,CASE-037,0
CASE-025,CASE-038,0
CASE-025,CASE-039,0
CASE-025,CASE-040,0
CASE-025,CASE-041,0
CASE-025,CASE-042,0
CASE-025,CASE-043,0
CASE-025,CASE-044,0
CASE-025,CASE-045,0
CASE-026,CASE-027,0
CASE-026,CASE-028,0
CASE-026,CASE-029,0
CASE-026,CASE-030,0
CASE-026,CASE-031,0
CASE-026,CASE-032,0
CASE-026,CASE-033,0
CASE-026,CASE-034,0
CASE-026,CASE-035,0
CASE-026,CASE-036,0
CASE-026,CASE-037,0
CASE-026,CASE-038,0
CASE-026,CASE-039,0
CASE-026,CASE-040,0
CASE-026,CASE-041,0
CASE-026,CASE-042,0
CASE-026,CASE-043,0
CASE-026,CASE-044,0
CASE-026,CASE-045,0
CASE-027,CASE-028,0
CASE-027,CASE-029,0
CASE-027,CASE-030,0
CASE-027,CASE-031,0
CASE-027,CASE-032,0
CASE-027,CASE-033,0
CASE-027,CASE-034,0
CASE-027,CASE-035,0
CASE-027,CASE-036,0
CASE-027,CASE-037,0
CASE-027,CASE-038,0
CASE-027,CASE-039,0
CASE-027,CASE-040,0
CASE-027,CASE-041,0
CASE-027,CASE-042,0
CASE-027,CASE-043,0
CASE-027,CASE-044,0
CASE-027,CASE-045,0
CASE-028,CASE-029,0
CASE-028,CASE-030,0
CASE-028,CASE-031,0
CASE-028,CASE-032,0
CASE-028,CASE-033,0
CASE-028,CASE-034,0
CASE-028,CASE-035,0
CASE-028,CASE-036,0
CASE-028,CASE-037,0
CASE-028,CASE-038,0
CASE-028,CASE-039,0
CASE-028,CASE-040,0
CASE-028,CASE-041,0
CASE-028,CASE-042,0
CASE-028,CASE-043,0
CASE-028,CASE-044,0
CASE-028,CASE-045,0
CASE-029,CASE-030,0
CASE-029,CASE-031,0
CASE-029,CASE-032,0
CASE-029,CASE-033,0
CASE-029,CASE-034,0
CASE-029,CASE-035,0
CASE-029,CASE-036,0
CASE-029,CASE-037,0
CASE-029,CASE-038,0
CASE-029,CASE-039,0
CASE-029,CASE-040,0
CASE-029,CASE-041,0
CASE-029,CASE-042,0
CASE-029,CASE-043,0
CASE-029,CASE-044,0
CASE-029,CASE-045,0
CASE-030,CASE-031,0
CASE-030,CASE-032,0
CASE-030,CASE-033,0
CASE-030,CASE-034,0
CASE-030,CASE-035,0
CASE-030,CASE-036,0
CASE-030,CASE-037,0
CASE-030,CASE-038,0
CASE-030,CASE-039,0
CASE-030,CASE-040,0
CASE-030,CASE-041,0
CASE-030,CASE-042,0
CASE-030,CASE-043,0
CASE-030,CASE-044,0
CASE-030,CASE-045,0
CASE-031,CASE-032,0
CASE-031,CASE-033,0
CASE-031,CASE-034,0
CASE-031,CASE-035,0
CASE-031,CASE-036,0
CASE-031,CASE-037,0
CASE-031,CASE-038,0
CASE-031,CASE-039,0
CASE-031,CASE-040,0
CASE-031,CASE-041,0
CASE-031,CASE-042,0
CASE-031,CASE-043,0
CASE-031,CASE-044,0
CASE-031,CASE-045,0
CASE-032,CASE-033,0
CASE-032,CASE-034,0
CASE-032,CASE-035,0
CASE-032,CASE-036,0
CASE-032,CASE-037,0
CASE-032,CASE-038,0
CASE-032,CASE-039,0
CASE-032,CASE-040,0
CASE-032,CASE-041,0
CASE-032,CASE-042,0
CASE-032,CASE-043,0
CASE-032,CASE-044,0
CASE-032,CASE-045,0
CASE-033,CASE-034,0
CASE-033,CASE-035,0
CASE-033,CASE-036,0
CASE-033,CASE-037,0
CASE-033,CASE-038,0
CASE-033,CASE-039,0
CASE-033,CASE-040,0
CASE-033,CASE-041,0
CASE-033,CASE-042,0
CASE-033,CASE-043,0
CASE-033,CASE-044,0
CASE-033,CASE-045,0
CASE-034,CASE-035,0
CASE-034,CASE-036,0
CASE-034,CASE-037,0
CASE-034,CASE-038,0
CASE-034,CASE-039,0
CASE-034,CASE-040,0
CASE-034,CASE-041,0
CASE-034,CASE-042,0
CASE-034,CASE-043,0
CASE-034,CASE-044,0
CASE-034,CASE-045,0
CASE-035,CASE-036,0
CASE-035,CASE-037,0
CASE-035,CASE-038,0
CASE-035,CASE-039,0
CASE-035,CASE-040,0
CASE-035,CASE-041,0
CASE-035,CASE-042,0
CASE-035,CASE-043,0
CASE-035,CASE-044,0
CASE-035,CASE-045,0
CASE-036,CASE-037,0
CASE-036,CASE-038,0
CASE-036,CASE-039,0
CASE-036,CASE-040,0
CASE-036,CASE-041,0
CASE-036,CASE-042,0
CASE-036,CASE-043,0
CASE-036,CASE-044,0
CASE-036,CASE-045,0
CASE-037,CASE-038,0
CASE-037,CASE-039,0
CASE-037,CASE-040,0
CASE-037,CASE-041,0
CASE-037,CASE-042,0
CASE-037,CASE-043,0
CASE-037,CASE-044,0
CASE-037,CASE-045,0
CASE-038,CASE-039,0
CASE-038,CASE-040,0
CASE-038,CASE-041,0
CASE-038,CASE-042,0
CASE-038,CASE-043,0
CASE-038,CASE-044,0
CASE-038,CASE-045,0
CASE-039,CASE-040,0
CASE-039,CASE-041,0
CASE-039,CASE-042,0
CASE-039,CASE-043,0
CASE-039,CASE-044,0
CASE-039,CASE-045,0
CASE-040,CASE-041,0
CASE-040,CASE-042,0
CASE-040,CASE-043,0
CASE-040,CASE-044,0
CASE-040,CASE-045,0
CASE-041,CASE-042,0
CASE-041,CASE-043,0
CASE-041,CASE-044,0
CASE-041,CASE-045,0
CASE-042,CASE-043,0
CASE-042,CASE-044,0
CASE-042,CASE-045,0
CASE-043,CASE-044,0
CASE-043,CASE-045,0
CASE-044,CASE-045,0
